n,Elapsed,TimeUTC,HeightMSL,GpsHeightMSL,P,Temp,RH,Dewp,Dir,Speed,Ecomp,Ncomp,Lat,Lon
99,98,23:08:51,754,754,929.4,12.04,91,10.57,331.1,9.9,4.8,-8.7,32.830837,-97.292641
199,198,23:10:31,1265,1265,874.3,9.29,90,7.67,351.7,11.3,1.6,-11.2,32.821678,-97.290542
299,298,23:12:11,1743,1742,825.1,5.92,100,5.91,350.7,9.6,1.6,-9.5,32.812054,-97.289660
399,398,23:13:51,2190,2190,781.2,5.95,72,1.23,339.2,9.3,3.3,-8.7,32.804558,-97.287168
499,498,23:15:31,2652,2652,738.2,3.33,72,-1.16,308.6,10.6,8.3,-6.6,32.797589,-97.281604
599,598,23:17:11,3077,3077,700.5,2.38,62,-4.17,310.0,10.9,8.3,-7.0,32.792414,-97.272755
699,698,23:18:51,3494,3494,665.2,1.69,57,-5.80,297.5,11.8,10.5,-5.5,32.786348,-97.263065
799,798,23:20:31,3934,3934,629.9,1.10,45,-9.58,304.9,12.6,10.3,-7.2,32.781147,-97.252288
899,898,23:22:11,4301,4301,601.7,-1.14,43,-12.05,292.0,12.5,11.6,-4.7,32.775313,-97.240170
999,998,23:23:51,4709,4709,571.5,-3.31,30,-18.32,287.6,9.7,9.2,-2.9,32.772261,-97.228709
1099,1098,23:25:31,5136,5136,541.4,-5.32,25,-22.14,287.0,11.9,11.4,-3.5,32.769484,-97.218426
1199,1198,23:27:11,5509,5509,516.1,-7.62,22,-25.60,299.0,11.0,9.6,-5.3,32.765268,-97.207288
1299,1298,23:28:51,5921,5921,489.3,-10.46,5,-42.46,290.0,12.1,11.4,-4.1,32.760202,-97.196358
1399,1398,23:30:31,6344,6344,463.0,-13.87,7,-42.36,275.9,12.1,12.1,-1.2,32.757702,-97.184304
1499,1498,23:32:11,6773,6773,437.4,-17.36,5,-48.61,279.0,12.9,12.8,-2.0,32.756582,-97.171439
