latitude,longitude,geometric_altitude
32.83535,-97.29823,201.6
32.83579,-97.30144,499.4
32.83582,-97.30656,1002.0
32.83415,-97.31181,2002.0
32.83346,-97.31349,2502.0
32.83286,-97.31077,5005.9
32.82547,-97.28010,7502.6
32.83973,-97.19161,10005.2
32.89709,-96.79510,20005.3
32.91715,-96.82677,34260.8
